period,reason,value,period_total,share_pct
pre_covid,education,20539.0,62557.0,32.83245679939895
pre_covid,family,25413.0,62557.0,40.62375113896127
pre_covid,other,13039.0,62557.0,20.843390827565262
pre_covid,work,3566.0,62557.0,5.700401234074524
covid,education,11383.0,29161.0,39.03501251671753
covid,family,10759.0,29161.0,36.895168204108224
covid,other,4903.0,29161.0,16.813552347313195
covid,work,2116.0,29161.0,7.256266931861047
post_covid,education,24536.0,61289.0,40.03328492878004
post_covid,family,19253.0,61289.0,31.41346734324267
post_covid,other,12501.0,61289.0,20.39680856271109
post_covid,work,4999.0,61289.0,8.156439165266198
