reference_period,reason,value,reference_period_total,share_pct
2015-2019,education,20539.0,62557.0,32.83245679939895
2015-2019,family,25413.0,62557.0,40.62375113896127
2015-2019,other,13039.0,62557.0,20.843390827565262
2015-2019,work,3566.0,62557.0,5.700401234074524
2020-2021,education,11383.0,29161.0,39.03501251671753
2020-2021,family,10759.0,29161.0,36.895168204108224
2020-2021,other,4903.0,29161.0,16.813552347313195
2020-2021,work,2116.0,29161.0,7.256266931861047
2022-2024,education,24536.0,61289.0,40.03328492878004
2022-2024,family,19253.0,61289.0,31.41346734324267
2022-2024,other,12501.0,61289.0,20.39680856271109
2022-2024,work,4999.0,61289.0,8.156439165266198
