year,reason,value
2015,education,3301.0
2015,family,4999.0
2015,other,1674.0
2015,work,573.0
2016,education,3622.0
2016,family,4808.0
2016,other,2904.0
2016,work,642.0
2017,education,3658.0
2017,family,5283.0
2017,other,3336.0
2017,work,649.0
2018,education,4574.0
2018,family,5322.0
2018,other,2560.0
2018,work,792.0
2019,education,5384.0
2019,family,5001.0
2019,other,2565.0
2019,work,910.0
2020,education,4752.0
2020,family,4629.0
2020,other,2022.0
2020,work,852.0
2021,education,6631.0
2021,family,6130.0
2021,other,2881.0
2021,work,1264.0
2022,education,6966.0
2022,family,6267.0
2022,other,3060.0
2022,work,1644.0
2023,education,8400.0
2023,family,6562.0
2023,other,5223.0
2023,work,1785.0
2024,education,9170.0
2024,family,6424.0
2024,other,4218.0
2024,work,1570.0
