measure_type,year,value
inflow,2015,16826.0
inflow,2016,18264.0
inflow,2017,19071.0
inflow,2018,19276.0
inflow,2019,20540.0
inflow,2020,13529.0
inflow,2021,18161.0
inflow,2022,3839.0
stock_birth,2015,214799.0
stock_birth,2016,198182.0
stock_birth,2017,223068.0
stock_birth,2018,239612.0
stock_birth,2019,237825.0
stock_birth,2020,247483.0
stock_birth,2021,267209.0
stock_birth,2022,59489.0
stock_nationality,2015,140386.0
stock_nationality,2016,152761.0
stock_nationality,2017,153368.0
stock_nationality,2018,164375.0
stock_nationality,2019,168569.0
stock_nationality,2020,140028.0
stock_nationality,2021,190026.0
stock_nationality,2022,74072.0
