source,measure_type,year,value
eurostat,citizenship_acquisition,2015,6638.0
eurostat,citizenship_acquisition,2016,7226.0
eurostat,citizenship_acquisition,2017,6612.0
eurostat,citizenship_acquisition,2018,5771.0
eurostat,citizenship_acquisition,2019,5942.0
eurostat,citizenship_acquisition,2020,4941.0
eurostat,citizenship_acquisition,2021,6836.0
eurostat,citizenship_acquisition,2022,6575.0
eurostat,citizenship_acquisition,2023,6025.0
eurostat,citizenship_acquisition,2024,6503.0
eurostat,long_term_resident,2015,47577.0
eurostat,long_term_resident,2016,54621.0
eurostat,long_term_resident,2017,56946.0
eurostat,long_term_resident,2018,55529.0
eurostat,long_term_resident,2019,51678.0
eurostat,long_term_resident,2020,54959.0
eurostat,long_term_resident,2021,55627.0
eurostat,long_term_resident,2022,61990.0
eurostat,long_term_resident,2023,64287.0
eurostat,long_term_resident,2024,66589.0
eurostat,status_change,2020,2471.0
eurostat,status_change,2021,4258.0
eurostat,status_change,2022,5166.0
eurostat,status_change,2023,6131.0
eurostat,status_change,2024,6702.0
oecd,citizenship_acquisition,2015,5677.0
oecd,citizenship_acquisition,2016,6095.0
oecd,citizenship_acquisition,2017,5722.0
oecd,citizenship_acquisition,2018,4892.0
oecd,citizenship_acquisition,2019,5082.0
oecd,citizenship_acquisition,2020,4412.0
oecd,citizenship_acquisition,2021,6304.0
