year,measure_type,value
2015,citizenship_acquisition,6638.0
2015,long_term_resident,47577.0
2016,citizenship_acquisition,7226.0
2016,long_term_resident,54621.0
2017,citizenship_acquisition,6612.0
2017,long_term_resident,56946.0
2018,citizenship_acquisition,5771.0
2018,long_term_resident,55529.0
2019,citizenship_acquisition,5942.0
2019,long_term_resident,51678.0
2020,citizenship_acquisition,4941.0
2020,long_term_resident,54959.0
2020,status_change,2471.0
2021,citizenship_acquisition,6836.0
2021,long_term_resident,55627.0
2021,status_change,4258.0
2022,citizenship_acquisition,6575.0
2022,long_term_resident,61990.0
2022,status_change,5166.0
2023,citizenship_acquisition,6025.0
2023,long_term_resident,64287.0
2023,status_change,6131.0
2024,citizenship_acquisition,6503.0
2024,long_term_resident,66589.0
2024,status_change,6702.0
