destination_country,2015,2020,2024,change_2015_2024,pct_change_2015_2024
South Africa,5747.0,6112.0,4916.0,-831.0,-14.459718113798504
Congo,11300.0,11225.0,11167.0,-133.0,-1.176991150442478
Guinea,196.0,187.0,181.0,-15.0,-7.653061224489796
Liechtenstein,5.0,3.0,3.0,-2.0,-40.0
Iceland,7.0,5.0,8.0,1.0,14.285714285714285
Dominican Republic,23.0,23.0,25.0,2.0,8.695652173913043
Bolivia (Plurinational State of),13.0,13.0,15.0,2.0,15.384615384615385
Latvia,1.0,4.0,4.0,3.0,300.0
Costa Rica,9.0,11.0,13.0,4.0,44.44444444444444
Slovakia,10.0,15.0,16.0,6.0,60.0
